Name,Beds,Price,Imputed Price
Essen,2,1668.75,1668.75
Essen,3,,1629.6877280594717
Essen,4,,1629.6877280594717
Essen,5,,1629.6877280594717
Essen,6,,1629.6877280594717
Esslingen,1,1490.25,1490.25
Esslingen,2,1800.0,1800.0
Esslingen,3,,1629.6877280594717
Esslingen,4,,1629.6877280594717
Esslingen,5,,1629.6877280594717
Esslingen,6,,1629.6877280594717
Frankfurt,1,1778.2297872340425,1778.2297872340425
Frankfurt,2,2269.0333333333333,2269.0333333333333
Frankfurt,3,796.6666666666666,796.6666666666666
Frankfurt,4,780.0,780.0
Frankfurt,5,815.0,815.0
Frankfurt,6,,1629.6877280594717
Freiburg,1,2606.4,2606.4
Freiburg,2,,1629.6877280594717
Freiburg,3,,1629.6877280594717
Freiburg,4,,1629.6877280594717
Freiburg,5,,1629.6877280594717
Freiburg,6,,1629.6877280594717
Gelsenkirchen,1,1809.0,1809.0
Gelsenkirchen,2,1890.0,1890.0
Gelsenkirchen,3,,1629.6877280594717
Gelsenkirchen,4,,1629.6877280594717
Gelsenkirchen,5,,1629.6877280594717
Gelsenkirchen,6,,1629.6877280594717
Germering,1,1790.0,1790.0
Germering,2,,1629.6877280594717
Germering,3,,1629.6877280594717
Germering,4,,1629.6877280594717
Germering,5,,1629.6877280594717
Germering,6,,1629.6877280594717
Halle,1,1676.0,1676.0
Halle,2,,1629.6877280594717
Halle,3,,1629.6877280594717
Halle,4,,1629.6877280594717
Halle,5,,1629.6877280594717
Halle,6,,1629.6877280594717
Hamburg,1,1859.4375,1859.4375
Hamburg,2,2397.5,2397.5
Hamburg,3,1495.0,1495.0
Hamburg,4,,1629.6877280594717
Hamburg,5,,1629.6877280594717
Hamburg,6,,1629.6877280594717
Hannover,1,1200.125,1200.125
Hannover,2,1755.0,1755.0
Hannover,3,,1629.6877280594717
Hannover,4,,1629.6877280594717
Hannover,5,,1629.6877280594717
Hannover,6,,1629.6877280594717
Heilbronn,1,1739.0,1739.0
Heilbronn,2,,1629.6877280594717
Heilbronn,3,,1629.6877280594717
Heilbronn,4,,1629.6877280594717
Heilbronn,5,,1629.6877280594717
Heilbronn,6,,1629.6877280594717
Hilden,1,1170.0,1170.0
Hilden,2,,1629.6877280594717
Hilden,3,,1629.6877280594717
Hilden,4,,1629.6877280594717
Hilden,5,,1629.6877280594717
Hilden,6,,1629.6877280594717
Ingolstadt,1,1830.0,1830.0
Ingolstadt,2,,1629.6877280594717
Ingolstadt,3,,1629.6877280594717
Ingolstadt,4,,1629.6877280594717
Ingolstadt,5,,1629.6877280594717
Ingolstadt,6,,1629.6877280594717
Kaiserslautern,1,2136.25,2136.25
Kaiserslautern,2,,1629.6877280594717
Kaiserslautern,3,,1629.6877280594717
Kaiserslautern,4,,1629.6877280594717
Kaiserslautern,5,,1629.6877280594717
Kaiserslautern,6,,1629.6877280594717
Karlsruhe,1,1640.0,1640.0
Karlsruhe,2,2107.5,2107.5
Karlsruhe,3,,1629.6877280594717
Karlsruhe,4,,1629.6877280594717
Karlsruhe,5,,1629.6877280594717
Karlsruhe,6,,1629.6877280594717
Kassel,1,,1629.6877280594717
Kassel,2,1881.0,1881.0
Kassel,3,,1629.6877280594717
Kassel,4,,1629.6877280594717
Kassel,5,,1629.6877280594717
Kassel,6,,1629.6877280594717
Kiel,1,1384.4285714285713,1384.4285714285713
Kiel,2,,1629.6877280594717
Kiel,3,,1629.6877280594717
Kiel,4,,1629.6877280594717
Kiel,5,,1629.6877280594717
Kiel,6,,1629.6877280594717
Koblenz,1,1295.25,1295.25
Koblenz,2,2000.0,2000.0
Koblenz,3,,1629.6877280594717
Koblenz,4,2400.0,2400.0
Koblenz,5,,1629.6877280594717
Koblenz,6,,1629.6877280594717
Leipzig,1,1922.2,1922.2
Leipzig,2,2000.0,2000.0
Leipzig,3,,1629.6877280594717
Leipzig,4,,1629.6877280594717
Leipzig,5,,1629.6877280594717
Leipzig,6,,1629.6877280594717
Leverkusen,1,1241.4285714285713,1241.4285714285713
Leverkusen,2,2000.0,2000.0
Leverkusen,3,,1629.6877280594717
Leverkusen,4,,1629.6877280594717
Leverkusen,5,,1629.6877280594717
Leverkusen,6,,1629.6877280594717
Ludwigsburg,1,1762.5,1762.5
Ludwigsburg,2,2117.0,2117.0
Ludwigsburg,3,,1629.6877280594717
Ludwigsburg,4,,1629.6877280594717
Ludwigsburg,5,,1629.6877280594717
Ludwigsburg,6,,1629.6877280594717
Ludwigshafen,1,1450.0,1450.0
Ludwigshafen,2,,1629.6877280594717
Ludwigshafen,3,,1629.6877280594717
Ludwigshafen,4,,1629.6877280594717
Ludwigshafen,5,,1629.6877280594717
Ludwigshafen,6,,1629.6877280594717
Magdeburg,1,2005.875,2005.875
Magdeburg,2,1823.0,1823.0
Magdeburg,3,,1629.6877280594717
Magdeburg,4,,1629.6877280594717
Magdeburg,5,,1629.6877280594717
Magdeburg,6,,1629.6877280594717
Mainz,1,1309.0,1309.0
Mainz,2,,1629.6877280594717
Mainz,3,,1629.6877280594717
Mainz,4,,1629.6877280594717
Mainz,5,,1629.6877280594717
Mainz,6,,1629.6877280594717
Mannheim,1,1413.8333333333333,1413.8333333333333
Mannheim,2,,1629.6877280594717
Mannheim,3,,1629.6877280594717
Mannheim,4,,1629.6877280594717
Mannheim,5,,1629.6877280594717
Mannheim,6,,1629.6877280594717
Munich,1,,1629.6877280594717
Munich,2,,1629.6877280594717
Munich,3,995.0,995.0
Munich,4,1170.0,1170.0
Munich,5,920.0,920.0
Munich,6,,1629.6877280594717
Neuss,1,1294.2857142857142,1294.2857142857142
Neuss,2,1950.0,1950.0
Neuss,3,1830.0,1830.0
Neuss,4,,1629.6877280594717
Neuss,5,,1629.6877280594717
Neuss,6,,1629.6877280594717
Nuremberg,1,1606.4285714285713,1606.4285714285713
Nuremberg,2,1826.0,1826.0
Nuremberg,3,,1629.6877280594717
Nuremberg,4,,1629.6877280594717
Nuremberg,5,,1629.6877280594717
Nuremberg,6,,1629.6877280594717
Oberhausen,1,1274.0,1274.0
Oberhausen,2,1350.0,1350.0
Oberhausen,3,,1629.6877280594717
Oberhausen,4,,1629.6877280594717
Oberhausen,5,,1629.6877280594717
Oberhausen,6,,1629.6877280594717
Offenbach,1,1497.7,1497.7
Offenbach,2,,1629.6877280594717
Offenbach,3,,1629.6877280594717
Offenbach,4,,1629.6877280594717
Offenbach,5,,1629.6877280594717
Offenbach,6,,1629.6877280594717
Potsdam,1,2248.222222222222,2248.222222222222
