geo_point_2d;objektkate;objektart;objektname;objektzusa;i_beschr;i_zusinfo;strasse;hausnummer;ort;link;ptl_anschl;p_email;ostwert;hochwert;stadtbeznr;stadtbezbe;statbeznr;statbezibe;ubznr;ubz;sozialrnr;sozialrbe;aktionsrnr;aktionsrbz;kommune
51.47674931766854, 7.472704588745585;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Hacheneyer Straße;185;Dortmund;;;;393935.10999995715;5703949.479999866;5;Hörde;520;Hacheney;521;Schulzentrum Hacheney;081;Benninghofen/Hacheney/Wellinghofen/Wichlinghofen;;;Dortmund
51.517131747008044, 7.504141582027157;XE_SozialEinrichtung;Kindergarten;Ev. Kiga Matthaeus;;;;Hallesche Straße;118;Dortmund;;;;396209.94999996206;5708395.129999881;30;Innenstadt-Ost;070;Kaiserbrunnen;073;Körne;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;;Dortmund
51.51412289572652, 7.479102909779365;XE_SozialEinrichtung;Kindergarten;EI Kleiner Prinz e.V.;;;;Hamburger Straße;41;Dortmund;;;;394465.77999995823;5708096.339999868;30;Innenstadt-Ost;070;Kaiserbrunnen;071;Kaiserbrunnen;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;;Dortmund
51.52743699896571, 7.521160450571308;XE_SozialEinrichtung;Kindergarten;Caritas-TEK St. Angela;;;;Hannöversche Straße;116;Dortmund;;;;397413.9049999648;5709517.129999889;3;Brackel;330;Wambel;331;Wambel Dorf;063;Wambel;;;Dortmund
51.52622554627227, 7.4574622613794785;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Haydnstraße;14;Dortmund;;;;392992.5999999555;5709473.639999855;20;Innenstadt-Nord;050;Nordmarkt;053;Nordmarkt-West;022;Nordmarkt;022;Nordmarkt;Dortmund
51.486746729507075, 7.438035302128083;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Heinrich-Staubach-Straße;2;Dortmund;;;;391551.30999995227;5705112.019999844;6;Hombruch;610;Barop;613;Krückenweg;091;Barop/Brünninghausen/Hombruch;;;Dortmund
51.48359807628912, 7.5444287808144965;XE_SozialEinrichtung;Kindergarten;AWO TEK Heliosweg;;;;Heliosweg;15;Dortmund;;;;398930.97999996657;5704609.639999899;4;Aplerbeck;420;Berghofen;422;Ostkirchstraße;072;Berghofen;;;Dortmund
51.52316476901126, 7.467978413209584;XE_SozialEinrichtung;Kindergarten;Ev. Kiga Johannes;;;;Heroldstraße;34;Dortmund;;;;393714.94999995705;5709117.939999864;20;Innenstadt-Nord;050;Nordmarkt;051;Nordmarkt-Süd;022;Nordmarkt;022;Nordmarkt;Dortmund
51.46034039356086, 7.534010631372747;XE_SozialEinrichtung;Kindergarten;Kath. Kiga St. Kunigunde;;;;Höchstener Straße;78;Dortmund;;;;398155.83999996516;5702037.709999895;4;Aplerbeck;420;Berghofen;423;Berghofer Mark;072;Berghofen;;;Dortmund
51.51680850175507, 7.562757205056737;XE_SozialEinrichtung;Kindergarten;EI Ali Baba e.V.;;;;Holzwickeder Straße;113;Dortmund;;;;400276.0899999687;5708277.679999907;3;Brackel;320;Brackel;328;Funkturmsiedlung;062;Brackel;;;Dortmund
